Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
"Evaluate climate-related risks for sludge and biosolids mobility, contamination, storage, and/or processing. Ensure sludge and sewage processing facility placement and design minimize health and environmental contamination risks.",Water Quality,Water Infrastructure – Wastewater,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
"Evaluate critical infrastructure vulnerabilities to the impacts of climate change. Work with regulators to minimize gaps in services. Examples of critical infrastructure includes utilities, schools, critical care and emergency buildings.","Multiple or All Hazards,Flooding – Rainfall-induced","Critical Facilities,Energy and Utilities",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Evaluate landscape and stormwater codes for suitability with projected changes in temperature and precipitation. Include an evaluation of how effectively the codes support the development of green infrastructure. ,"Extreme Heat,Flooding – General","Urban Landscape and Tree Canopy,Water Infrastructure – General,Water Infrastructure – Stormwater","""Policy, Codes, & Standards""",Building Codes,Flagstaff Climate Action and Adaptation Plan,https://www.flagstaff.az.gov/DocumentCenter/View/59411/Flagstaff-Climate-Action-and-Adaptation-Plan_Nov-2018,https://toolkit.climate.gov/case-studies/flagstaff-climate-action-and-adaptation-plan-0
Evaluate mechanisms to support private property owners in making drainage improvements in landslide prone areas. Prioritize the needs of communities of color and lower income residents in the analysis.,Landslides,"Property,Water Infrastructure – Stormwater",Funding & Finance,Financing & Incentives,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
"Evaluate opportunities to increase shade trees and structures, reduce heat-absorbing surfaces and add “spray” water features and water fountains as part of all capital upgrades.",Extreme Heat,Urban Landscape and Tree Canopy,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
"Evaluate potential sources of contamination and current practices to protect water quality (e.g., gas stations). ",Water Quality,Water Infrastructure – Drinking Water,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
Evaluate proposed construction projects that support climate adaptation. Use a common set of design engineering parameters.,"Multiple or All Hazards,Erosion and Shoreline Recession","Critical Facilities,Multiple or All Assets",Planning & Management,Design and alternative designs,"Climate Change in Port Heiden, AK",https://anthc.org/wp-content/uploads/2018/10/ANTHC-Port-Heiden_Final.pdf,https://toolkit.climate.gov/case-studies/climate-change-port-heiden-ak-1
Evaluate public housing units in flood-prone areas for opportunities to mitigate flooding. ,"Flooding – General,Flooding – Rainfall-induced",Property,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Evaluate shelter policies and resources to ensure residents have access to indoor shelters with the proper resources during periods of elevated nighttime temperatures (>80°F). Consider expanding cooling center open times when nighttime temperatures are elevated. ,Extreme Heat,People,Preparedness & Response,Emergency Management,"City of San Antonio, TX: A Path for Climate Action & Adaptation",https://www.sanantonio.gov/Portals/0/Files/Sustainability/SAClimateReady/SACRReportOctober2019.pdf,https://toolkit.climate.gov/case-studies/city-san-antonio-tx-path-climate-action-adaptation-1
Evaluate streets for accessibility under different sea level rise scenarios.,Flooding – Coastal,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
"Evaluate the budget implications of additional watering/establishment care, storm/drought maintenance, and tree removal and replacement.",Drought,Urban Landscape and Tree Canopy,Funding & Finance,Funding,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
"Evaluate the flooding potential of creeks in the jurisdiction. Monitor water flow to improve natural creek conditions and to improve floodwater flow, reduce erosion, improve habitat and protect adjacent neighborhoods and commercial areas.","Flooding – General,Flooding – Rainfall-induced","Water Infrastructure – Wastewater,Natural Areas and Wildlife,Property",Capacity Building,Modeling,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Evaluate the jurisdiction's sediment and erosion control program. Update it to accommodate changes that may occur due to the anticipated increased, heavier precipitation events. ",Erosion and Shoreline Recession,Natural Areas and Wildlife,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
"Evaluate the jurisdiction's steep slope ordinance and consider amendments to reduce the risk of impacts to downslope residential properties (i.e., consider a lower elevation threshold for development that triggers the ordinance).",Landslides,Property,"""Policy, Codes, & Standards""",Building Codes,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Evaluate the potential for increased moisture issues in buildings that house pools.,Extreme Heat,Property,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
"Evaluate the requirements of the floodplain ordinance and explore higher regulatory standards such as freeboard, the definition of substantial damage or improvement and the regulation potential obstructions to stream flow.","Flooding – Coastal,Flooding – General","Multiple or All Assets,Property","""Policy, Codes, & Standards""",Building Codes,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Evaluate the viability and costs of new advanced reclaimed water treatment technologies to increase water quality for potable reuse. ,Water Quality,"Water Infrastructure – Drinking Water,Water Infrastructure – General",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Flagstaff Climate Action and Adaptation Plan,https://www.flagstaff.az.gov/DocumentCenter/View/59411/Flagstaff-Climate-Action-and-Adaptation-Plan_Nov-2018,https://toolkit.climate.gov/case-studies/flagstaff-climate-action-and-adaptation-plan-0
Evaulate greenways located in flood prone areas,Flooding – Rainfall-induced,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Examine regionalization efforts and sharing of resources for all water utilities. ,"Drought,Flooding – General,Flooding – Rainfall-induced","Water Infrastructure – Drinking Water,Water Infrastructure – General,Water Infrastructure – Stormwater",Partnerships & Collaboration,Partnerships,Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
Examine the effects of climate change and sea level rise on water availability and groundwater vulnerability to saltwater intrusion. Consider potential changes in precipitation and evapotranspiration patterns as well as extreme drought and floods.,"Water Quality,Drought,Flooding – Coastal,Flooding – General",Aquatic and Marine Resources,,,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Expand and amplify wayfinding to help the public evacuate during wildfires.,Wildfire,"Transportation and Mobility,People",Public Education & Outreach,Community Engagement,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
"Expand and diversify the timber market, for example, with small diameter mass timber. ",Changing Seasons,Economy,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
Expand and increase marketing for low income retrofits.,Extreme Cold,Property,Public Education & Outreach,Community Engagement,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Expand and publicize the Ready, Set, Go! Evacuation program. (safety impacts.)",Wildfire,People,Preparedness & Response,Emergency Management,Ashland Climate and Energy Action Plan,https://ashlandor.org/wp-content/uploads/Ashland-Climate-and-Energy-Action-Plan_pages.pdf,https://toolkit.climate.gov/case-studies/ashland-climate-and-energy-action-plan
"Expand electric fleets, charging infrastructure, and energy backup to reduce emissions and support emergency response services.",Flooding – General,Transportation and Mobility,Capacity Building,Mitigation Actions,"Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
"Expand employer and worker training in industries with outdoor work, including assurance for adequate water, shade and rest breaks, and protection from poor air quality, heat impacts and vector borne diseases.","Air Quality,Vector-Borne Disease,Wildfire,Extreme Heat","Economy,People",Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Expand existing SRP program that subsidizes cost of irrigation controllers for residential use.  ,Drought,Property,Funding & Finance,Financing & Incentives,"Phoenix, AZ Climate Action Plan",https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,https://toolkit.climate.gov/case-studies/phoenix-az-climate-action-plan-1
Expand participation in collaborative projects focused on protecting and improving imported source water quality. ,Water Quality,Water Infrastructure – General,Partnerships & Collaboration,Partnerships,Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
Expand public awareness campaigns on human-caused fires. ,Wildfire,"Agriculture and Food Supply,Urban Landscape and Tree Canopy,Aquatic and Marine Resources,Natural Areas and Wildlife,Property",Public Education & Outreach,Education,Flagstaff Climate Action and Adaptation Plan,https://www.flagstaff.az.gov/DocumentCenter/View/59411/Flagstaff-Climate-Action-and-Adaptation-Plan_Nov-2018,https://toolkit.climate.gov/case-studies/flagstaff-climate-action-and-adaptation-plan-0
"Expand public investment, particularly hazard mitigation funding, to flood-proof or relocate drinking water and infrastructure. The program would invest in infrastructure at significant risk of flooding, already flood damaged or during end-of-life refurbishment. ","Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced","Water Infrastructure – Drinking Water,Water Infrastructure – General",Funding & Finance,Funding,Vermont Climate Action Plan,https://outside.vermont.gov/agency/anr/climatecouncil/Shared%20Documents/Initial%20Climate%20Action%20Plan%20-%20Final%20-%2012-1-21.pdf,https://toolkit.climate.gov/case-studies/vermont-climate-action-plan-1
"Expand public, private and nonprofit partnerships to facilitate tree planting and nature-based solutions. ","Air Quality,Extreme Heat,Flooding – General",Urban Landscape and Tree Canopy,Partnerships & Collaboration,Partnerships,"Kansas City, MO Regional Climate Action Plan",https://kcmetroclimateplan.org/wp-content/uploads/2021/05/Climate-Action-Plan.pdf,https://toolkit.climate.gov/case-studies/kansas-city-mo-regional-climate-action-plan-0
Expand support for local water quality efforts through outreach about recycled water and source water quality. ,Water Quality,Water Infrastructure – General,Public Education & Outreach,Education,Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
Expand the detention capacity of bayou corridors.,Flooding – General,Natural Areas and Wildlife,Capital Improvements - Green & Gray Infrastructure,"""Flood barriers, dams, and levees""",Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
Expand workforce preparedness training opportunities and programs to quickly restore essential local government services after a major shock.,"High Winds,Severe Winter Weather,Wildfire,Flooding – Coastal,Flooding – General","Economy,People",Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
"Expand, protect and maintain environmental/ecological/natural resources and corridors that provide habitat value.","""Shifting Species, Habitats, and Ecosystems""",Natural Areas and Wildlife,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""",Detroit Climate Action Plan,https://detroitenvironmentaljustice.org/wp-content/uploads/2017/10/CAP_WEB.pdf,https://toolkit.climate.gov/case-studies/detroit-climate-action-plan-1
"Explore creation of a public outreach campaign with material to help the public conduct effective fuels management through pruning and clearing dead vegetation, performing selective logging, and cutting high grasses. ",Wildfire,Property,Public Education & Outreach,Community Engagement,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Explore more environmentally friendly options for ice abatement on local streets. ,"Severe Winter Weather,Water Quality","Transportation and Mobility,Water Infrastructure – Stormwater",Planning & Management,Planning,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Explore new technologies for treating wastewater for use.,Drought,Water Infrastructure – Wastewater,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Ashland Climate and Energy Action Plan,https://ashlandor.org/wp-content/uploads/Ashland-Climate-and-Energy-Action-Plan_pages.pdf,https://toolkit.climate.gov/case-studies/ashland-climate-and-energy-action-plan
Explore possible locations for the creation of bioswales to absorb storm runoff. ,"Water Quality,Drought,Flooding – General","Urban Landscape and Tree Canopy,Water Infrastructure – Stormwater",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Explore potential uses of rainwater runoff in urban areas to address low water supply and drought. For example, rainwater may be a used to water areas downstream. ",Drought,Water Infrastructure – Stormwater,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Boise's Climate Action Roadmap,https://www.cityofboise.org/media/18146/boise-climate-roadmap.pdf,https://toolkit.climate.gov/case-studies/boises-climate-action-roadmap
Explore source water supply alternatives to be prepared in case of failure of the existing system.,Drought,"Water Infrastructure – Drinking Water,Water Infrastructure – General",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Facilitate access to safe and cool spaces during extreme heat events, prioritizing frontline communities (e.g., the elderly, people with disabilities, people of color, lower income residents).",Extreme Heat,People,"""Health, Wellness, & Security""",Public Health,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Facilitate affordable housing options outside high-risk areas for all residents.,"High Winds,Landslides,Multiple or All Hazards,Wildfire,Flooding – Coastal,Flooding – General",Property,Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Facilitate compliance with federal air quality standards by businesses.,Air Quality,Economy,"""Policy, Codes, & Standards""",Building Codes,Climate Action Plan for the Chicago Region,https://mayorscaucus.org/wp-content/uploads/2021/06/RegionalCAP_primary_and_appendices_062321-02.pdf,https://toolkit.climate.gov/case-studies/climate-action-plan-chicago-region-1
Facilitate managed retreat or upgrades in the most at-risk areas.,Flooding – Coastal,Property,"""Managed Retreat, Relocation, & Buyout""",Retreat,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Facilitate more affordable access to education.,Wildfire,Economy,Funding & Finance,Funding,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Find and address leaks in drinking water distribution systems.,Water Quality,Water Infrastructure – Drinking Water,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Columbus, OH Climate Action Plan",https://byrd.osu.edu/sites/byrd.osu.edu/files/CCCAP%20-%20FINAL_0.pdf,https://toolkit.climate.gov/case-studies/columbus-oh-climate-action-plan-0
Find and set aside money for tree canopy improvement after a disaster.,Multiple or All Hazards,Urban Landscape and Tree Canopy,,,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Flood-proof existing structures.,"Flooding – General,Flooding – Rainfall-induced",Property,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Floodproof existing structures. For example, move power equipment to higher floors.",Flooding – General,"Multiple or All Assets,Property",Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,Climate Ready Boston - Resilience Initiatives,https://www.boston.gov/sites/default/files/imce-uploads/2017-01/crb_-_focus_area_ri.pdf,https://toolkit.climate.gov/case-studies/climate-ready-boston-resilience-initiatives-1
Focus on restoration and maintenance after flood,Flooding – Rainfall-induced,Transportation and Mobility,Planning & Management,Planning,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Follow-up with a feasibility assessment for prioritized new water sources.,Water Quality,Water Infrastructure – Drinking Water,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Climate Change in Port Heiden, AK",https://anthc.org/wp-content/uploads/2018/10/ANTHC-Port-Heiden_Final.pdf,https://toolkit.climate.gov/case-studies/climate-change-port-heiden-ak-1
"For stream restoration projects, select a mix of water-loving and drought-resistant native plants.","""Shifting Species, Habitats, and Ecosystems"",Drought","Aquatic and Marine Resources,Natural Areas and Wildlife",Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Form a stormwater utility that can create fee-based services to help pay for flood risk reduction projects. ,Flooding – General,Water Infrastructure – Stormwater,,,State of Louisiana Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/state-louisiana-regional-adaptation-strategy-0
"Fortify critical lifeline infrastructure and supply chains through continued assessments, coordination and investment.",Multiple or All Hazards,"Transportation and Mobility,Critical Facilities",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
"Foster innovation, development and exchange of ideas for addressing climate impacts. ","Multiple or All Hazards,Water Quality","Water Infrastructure – General,Multiple or All Assets",Partnerships & Collaboration,Partnerships,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Graduate at least 50 students per year from new degree programs in fields such as forestry, criminal justice and computer technology.",Wildfire,Economy,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Green infrastructure, green roofs, rain barrels (trees, improve stormwater infrastructure, improve LID/green infrastructure)",Flooding – Rainfall-induced,Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,"""Nature-based solutions, Green Infrastructure""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Grow educational and outreach efforts within agencies, community partners and the public to build support for forest management options, including allowing natural fires to burn.","""Shifting Species, Habitats, and Ecosystems"",Wildfire","Agriculture and Food Supply,Water Infrastructure – Wastewater,Natural Areas and Wildlife",Partnerships & Collaboration,Partnerships,"Missoula, MT Regional Adaptation Strategy",https://www.climatereadymissoula.org/uploads/1/2/6/6/126687164/revisedclimatereadymissoula_2.22.20.pdf,https://toolkit.climate.gov/case-studies/missoula-mt-regional-adaptation-strategy-0
"Grow partnerships between the public, private and nonprofit sectors to provide critical services to vulnerable populations in times of crisis.","Air Quality,High Winds,Landslides,Multiple or All Hazards,Severe Winter Weather,Wildfire,Drought,Extreme Heat,Flooding – Coastal,Flooding – General","Multiple or All Assets,People",Partnerships & Collaboration,Partnerships,"Los Angeles, CA Resilience Strategy",https://resilientcitiesnetwork.org/downloadable_resources/Network/Los-Angeles-Resilience-Strategy-English.pdf,https://toolkit.climate.gov/case-studies/los-angeles-ca-resilience-strategy-0
"Guide all levels of government to address climate change impacts in relevant policies, programs and legislation. ",Multiple or All Hazards,Multiple or All Assets,"""Policy, Codes, & Standards""",Policies,Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
Harden and stabilize roads against landslides with retaining walls and vegetation. ,Landslides,Transportation and Mobility,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Harden existing 911 centers to withstand strong winds or build a backup 911 center where operations can be transferred in the event the main 911 center is inoperable.,High Winds,Critical Facilities,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Harden existing structures, such as seawalls, where appropriate.",Flooding – Coastal,Property,Capital Improvements - Green & Gray Infrastructure,"""Armoring, harden, retrofits and revetments""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Have wireless backup options for key communications with the public.,Multiple or All Hazards,People,,,Miami Forever Climate Ready Strategy,https://www.miami.gov/My-Government/ClimateChange/Climate-Change-Action/MiamiForeverClimateReady,https://toolkit.climate.gov/case-studies/miami-forever-climate-ready-strategy-0
"Help connect low-income residents with existing weatherization programs. These programs often provide home insulation, water heater insulation, double-paned windows, thermostats, window coverings, fans and other items to conserve energy in homes. They make it easier for residents to pay for electricity during heat season, among other benefits.","Air Quality,Severe Winter Weather,Changing Seasons,Flooding – Coastal","Energy and Utilities,Property",Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""","Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Help spread the word about the importance of prescribed burns in the Northern forest in the summertime to the local community,Wildfire,Natural Areas and Wildlife,Public Education & Outreach,Education,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
"Help stormwater utilities increase drainage with detention and retention basins, debris removal and other methods. ",Flooding – General,Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,Stormwater Infrastructure,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Hire a Chief Resilience Officer to coordinate resilience efforts.,Multiple or All Hazards,Multiple or All Assets,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Hire a stormwater program consultant to assess the jurisdiction's stormwater plan.,"Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""","Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
